-60693.758101, 1410.367660
-61437.225328, 1010.015464
-60417.655163, -1080.945004
-60023.651484, -1271.816886
-61434.497366, 818.488512
-61629.415928, 878.390736
-60648.339392, 982.220437
-63744.061357, -370.405821
-60648.774462, -1552.200772
-62458.795259, -1434.657166
-62486.928966, -2072.832780
-61356.093951, -2093.558894
-61689.870100, 1959.483885
-62156.714198, 2123.404829
-61454.858062, -1064.154238
-61670.309116, -3205.055973
-60958.231655, -3128.490221
-61821.717030, -3096.507722
-61554.898403, 3505.619862
-62574.486830, 2727.401470
-61238.493943, -1894.804673
-62453.801736, 3610.306049
-61415.418615, 3793.901108
-64154.037013, -707.669639
-64032.636012, 3257.110626
-62209.763770, -4276.787923
-64565.716909, 3373.305909
-63635.991846, -3317.768354
-61453.007572, -2808.286687
-61862.121521, 4451.095624
-62992.673461, -3819.763834
-61389.618543, -5067.342490
-62219.451709, 4654.214185
-66858.281867, 435.041879
-64808.116437, -3089.467803
-64970.816952, 3046.040936
-64636.947138, -3442.114639
-66699.873331, -3193.162908
-67841.848065, 99.326703
-66379.551588, -3660.030424
-66218.530827, -3340.276446
-69652.521912, 1984.670406
-62528.531878, -5510.713325
-70224.465784, -1092.802822
-71719.787988, -1173.209608
-61978.448335, 5329.725197
-68982.326332, 2709.144381
-73276.607813, 381.011560
-68244.589662, 2423.713119
-68673.494905, 2257.936132
-64652.610644, 4890.021302
-72046.380922, -925.057144
-62941.870758, 5201.669690
-68228.326333, -3039.884413
-72570.214748, 891.147345
-72384.402467, 922.393193
-73554.113825, -917.171834
-67716.756407, 3630.371679
-65221.571713, 4940.578810
-68916.771613, -2787.385442
-68990.782642, 3413.599379
-64667.993272, -4698.701207
-64765.654850, 4888.538700
-73670.382499, -719.083116
-68257.879994, -3694.535066
-66313.037930, -4662.692291
-65404.686288, 4931.360732
-66680.310081, 4406.394556
-65357.652448, -5224.510381
-70787.171119, -2252.124366
-69990.553404, -2795.849019
-71224.823607, 2269.088136
-61800.027504, 513.686687
-61295.261861, -1027.065572
-62977.471491, 721.046226
-63044.434537, -548.831357
-63865.614844, 49.486164
-61840.068230, 701.689291
-64102.534081, -1261.024974
-63412.257542, -558.749677
-62583.522483, 1216.076929
-60851.620327, 2448.977280
-60358.452577, -2142.320840
-61897.527662, -2463.860479
-63612.206479, -2348.002090
-61663.630745, -2526.479842
-62638.282891, 1882.498255
-61634.577283, 4104.730240
-61164.514831, -3142.538742
-63346.772427, 3883.884161
-61614.805484, 4266.743677
-63707.539577, 1524.767547
-64857.447417, 3173.715509
-62395.868571, -3361.757782
-62132.098671, -4379.707126
-63724.348280, -4418.298366
-63079.846712, 3829.235363
-62292.648060, 3818.694920
-61471.993940, -4755.355458
-62434.539747, -4956.570899
-65001.197466, 3388.947573
-63237.735158, -4839.902408
-71313.751410, -68.263954
-61538.459518, 4565.316965
-71618.333881, -913.382190
-71418.342881, 1232.595158
-64971.652796, -2275.122942
-62487.619487, 4974.024766
-64584.216196, 2049.036873
-62554.728523, 4591.191247
-65298.562995, -3696.516898
-66519.258786, 4071.846757
-68082.753361, 248.858877
-63784.351560, 3863.022380
-68274.167672, 3237.033987
-66951.910301, -1277.468591
-68482.605313, 3334.080747
-72695.111232, -644.356505
-66264.021547, -3386.658127
-70174.846092, -2769.619762
-71742.119187, 513.159612
-67527.205957, -4012.947356
-74139.030541, 500.569590
-67589.520400, -3538.374971
-64518.975948, -3204.378515
-69157.155545, 1767.799887
-68336.480591, 3240.043041
-71354.086403, -1181.413953
-70110.304207, -2287.916908
-74210.366021, 661.410784
-67756.393583, 3471.290095
-67192.112235, -4328.081368
-66995.279779, -3993.003517
-63583.073563, -4999.917661
-66525.566141, -3860.597380
-70929.184121, 2264.170034
-65375.320348, 5456.566741
-71990.630924, -1055.083622
-66184.943823, 4584.076526
-71411.770739, -1714.004683
-68639.526281, -4634.643132
-64912.224617, -5215.806466
-69035.974795, 3773.843433
-67807.422387, 4536.704546
-63089.961791, 324.881347
-63377.706791, 420.941515
-62833.122325, -1044.251110
-63088.710007, -13.438667
-61223.111986, -1533.985633
-63079.006023, 288.183580
-63226.134947, 1152.603776
-62580.660060, -1353.679153
-63172.684955, -1185.167860
-62033.277178, 2072.541384
-61328.628694, -1553.495561
-60657.608729, -2005.348775
-61099.645108, -3285.260387
-62818.790389, 2867.037574
-63522.041927, 2059.176777
-62481.328055, -3359.055758
-63727.940005, 2919.338217
-64084.556373, 3129.234993
-60801.167124, 3165.153751
-62017.451307, -2778.725028
-60963.706134, 3157.112049
-62609.913448, -2881.676428
-61660.853687, -4595.732208
-63307.964695, 981.771292
-62392.194872, 3620.725183
-65870.563206, 536.373419
-63388.827114, 3056.862119
-64583.445032, -1347.814916
-63987.541024, -3471.797904
-63286.413723, 3370.526963
-67832.520005, -731.993639
-72425.868101, -386.420493
-62917.628166, -4820.259734
-63399.342520, -4262.334401
-66140.778028, -3485.582764
-63489.208912, -5145.156154
-71008.611026, -1185.742572
-69442.140135, 2010.996863
-63821.251828, 4800.159966
-70386.827127, 1224.828718
-66040.917794, 3434.092436
-71986.756982, 1187.986095
-74286.613696, -276.158968
-69016.694035, 3021.497163
-66498.810662, 4106.814941
-65718.300912, 3567.036024
-71782.671878, -278.791674
-66558.335898, -3019.418305
-68436.802742, -3671.962795
-70797.284667, 1455.817705
-63110.503726, -4799.997409
-68078.643190, -3154.234549
-63139.087342, -4811.531199
-72199.088600, 1359.450411
-67733.887855, 4050.151847
-73753.517423, 18.426504
-67813.199739, -3279.622054
-65873.616899, -5047.629874
